Region,Country Name,Mobile users per capita,Population,Year,Migration: Top 3 destinations,Migration: Top 3 sources
The Americas,Guyana,0.05,733101,2000,"[('United States', '219060'), ('Canada', '82057'), ('Suriname', '7919')]","[('Suriname', '2245'), ('Brazil', '1042'), ('Venezuela, RB', '1025')]"
The Americas,Haiti,0.01,8645371,2000,"[('United States', '435259'), ('Dominican Republic', '228274'), ('Canada', '52606')]","[('Dominican Republic', '12882'), ('Cuba', '5379'), ('United States', '3046')]"
The Americas,Honduras,0.02,6218151,2000,"[('United States', '288779'), ('Nicaragua', '10960'), ('El Salvador', '8802')]","[('El Salvador', '6644'), ('Nicaragua', '5713'), ('United States', '4946')]"
Asia,"Hong Kong SAR, China",0.82,6665000,2000,"[('Canada', '234201'), ('United States', '207845'), ('United Kingdom', '143805')]","[('China', '2164744'), ('Malaysia', '70681'), ('Macao SAR, China', '69229')]"
Europe,Hungary,0.30,10210971,2000,"[('United States', '93543'), ('Germany', '71830'), ('Canada', '49398')]","[('Romania', '133077'), ('Serbia and Montenegro', '31051'), ('Germany', '16733')]"
Europe,Iceland,0.76,281205,2000,"[('Germany', '6984'), ('Denmark', '5750'), ('Norway', '3860')]","[('Denmark', '2306'), ('Sweden', '1549'), ('Poland', '1493')]"
Asia,India,0.00,1053898107,2000,"[('Pakistan', '2512906'), ('United States', '1041320'), ('Saudi Arabia', '1007649')]","[('Bangladesh', '3789377'), ('Pakistan', '1331659'), ('Nepal', '649166')]"
Asia,Indonesia,0.02,213395411,2000,"[('Malaysia', '885328'), ('Saudi Arabia', '286600'), ('Netherlands', '155137')]","[('China', '81323'), ('Taiwan, China', '11058'), ('United Kingdom', '8517')]"
Middle East,"Iran, Islamic Rep.",0.01,65342319,2000,"[('United States', '294355'), ('Germany', '108486'), ('United Arab Emirates', '76907')]","[('Afghanistan', '762129'), ('Iraq', '169650'), ('Pakistan', '8372')]"
Middle East,Iraq,0.00,24313641,2000,"[('Iran, Islamic Rep.', '169650'), ('Kuwait', '159233'), ('United States', '93991')]","[('Kuwait', '8301'), ('Egypt, Arab Rep.', '2510'), ('Iran, Islamic Rep.', '1923')]"
Europe,Ireland,0.65,3805174,2000,"[('United Kingdom', '636751'), ('France', '181039'), ('United States', '163136')]","[('United Kingdom', '227440'), ('United States', '24104'), ('Germany', '10126')]"
